id,user_id,post_id,novel_id,content,parent_id,created_at,updated_at,like_count,created_by,updated_by,chapter_id,is_blocked
1,1,1,NULL,"Bài viết rất hay và hữu ích! Cảm ơn tác giả đã chia sẻ.",NULL,"2025-11-20 03:32:54","2025-11-21 14:47:35",6,NULL,NULL,NULL,NULL
2,2,2,NULL,"Tôi đã áp dụng những tips này và thấy hiệu quả rõ rệt.",NULL,"2025-11-20 03:32:54","2025-11-20 03:32:54",0,NULL,NULL,NULL,NULL
3,1,NULL,1,"Chương này hay quá! Cách tác giả miêu tả việc khám phá sức mạnh ma thuật rất sinh động.",NULL,"2025-11-20 03:32:54","2025-11-22 10:34:11",1,NULL,NULL,NULL,NULL
4,2,NULL,1,"Minh thật sự có tài năng tự nhiên. Không thể chờ đợi để xem anh sẽ phát triển như thế nào.",NULL,"2025-11-20 03:32:54","2025-11-22 10:34:12",1,NULL,NULL,NULL,NULL
5,2,NULL,1,"Thầy Lâm thật sự là một nhân vật thú vị. Hy vọng sẽ thấy nhiều hơn về ông ấy.",NULL,"2025-11-20 03:32:54","2025-11-20 03:32:54",0,NULL,NULL,NULL,NULL
6,4,NULL,NULL,test,NULL,"2025-11-20 15:37:22","2025-11-25 22:21:24",1,NULL,NULL,1,NULL
7,4,NULL,NULL,test1,NULL,"2025-11-20 15:40:55","2025-11-25 22:21:25",1,NULL,NULL,1,NULL
8,4,NULL,1,test,NULL,"2025-11-20 18:25:40","2025-11-20 18:25:40",0,NULL,NULL,NULL,NULL
9,4,1,NULL,"test comment",NULL,"2025-11-26 11:32:36","2025-11-26 11:32:36",0,NULL,NULL,NULL,NULL
10,4,1,NULL,test,NULL,"2025-11-26 11:50:22","2025-11-26 11:50:22",0,NULL,NULL,NULL,NULL
11,4,NULL,6,test,NULL,"2025-11-26 16:08:42","2025-11-26 21:49:59",1,NULL,NULL,NULL,NULL
12,4,NULL,NULL,test,NULL,"2025-11-26 16:08:47","2025-11-26 16:08:53",1,NULL,NULL,4,NULL
13,4,NULL,2,test,NULL,"2025-11-28 16:11:02","2025-11-28 16:11:02",0,NULL,NULL,NULL,NULL
14,4,NULL,NULL,test,NULL,"2025-11-30 23:16:39","2025-11-30 23:16:50",1,NULL,NULL,3,NULL
15,4,1,NULL,test,NULL,"2025-12-01 15:01:08","2025-12-01 15:01:08",0,NULL,NULL,NULL,NULL
16,4,2,NULL,test,NULL,"2025-12-01 15:21:53","2025-12-01 15:21:53",0,NULL,NULL,NULL,0
17,4,4,NULL,hay,NULL,"2025-12-01 15:22:31","2025-12-01 15:22:31",0,NULL,NULL,NULL,0
18,4,NULL,2,hay,NULL,"2025-12-01 15:35:48","2025-12-01 15:35:48",0,NULL,NULL,NULL,0
20,4,1,NULL,test,NULL,"2025-12-01 15:36:36","2025-12-01 15:36:36",0,NULL,NULL,NULL,0
21,4,NULL,1,test,NULL,"2025-12-01 15:46:42","2025-12-01 15:46:53",1,NULL,NULL,NULL,0
22,4,NULL,1,tss,NULL,"2025-12-01 15:46:47","2025-12-01 15:46:47",0,NULL,NULL,NULL,0
23,4,NULL,1,test,22,"2025-12-01 15:57:55","2025-12-01 15:57:55",0,NULL,NULL,NULL,0
24,4,NULL,1,tesss,22,"2025-12-01 15:58:03","2025-12-01 16:09:49",1,NULL,NULL,NULL,0
25,4,1,NULL,test,20,"2025-12-01 16:15:45","2025-12-01 17:44:39",1,NULL,NULL,NULL,0
26,4,1,NULL,tee,20,"2025-12-01 16:22:21","2025-12-01 16:22:21",0,NULL,NULL,NULL,0
27,4,1,NULL,hello,26,"2025-12-01 17:47:20","2025-12-01 17:47:20",0,NULL,NULL,NULL,0
28,4,1,NULL,hi,27,"2025-12-01 19:20:46","2025-12-01 19:20:46",0,NULL,NULL,NULL,0
29,4,1,NULL,hi,26,"2025-12-01 19:20:57","2025-12-01 19:20:57",0,NULL,NULL,NULL,0
30,5,1,NULL,tesst,1,"2025-12-02 09:22:28","2025-12-02 09:22:28",0,5,5,NULL,NULL
31,5,1,NULL,test,20,"2025-12-02 09:33:03","2025-12-02 09:33:03",0,5,5,NULL,NULL
